actor,movie_or_TV_name
Koichi Yamadera,Detective Pikachu & the Mystery of the Missing Flan 🍮🔎
Koichi Yamadera,Go! Anpanman: Roboly and the Warming Present
Kazuhiro Yamaji,Psycho-Pass: Providence
Kazuhiro Yamaji,Dead Mount Death Play
Kazuhiro Yamaji,Ōsama Sentai Kingu-Ōjā
Kazuhiro Yamaji,MAKE MY DAY
Yutaka Nakano,Ghost in the Shell: SAC_2045
Yutaka Nakano,The Quintessential Quintuplets
Yutaka Nakano,The Rising of the Shield Hero
Yutaka Nakano,Hero Mask
Yutaka Nakano,We Rent Tsukumogami
Yutaka Nakano,Joker Game
Iemasa Kayumi,Space Dandy
Iemasa Kayumi,Lupin the Third vs. Detective Conan: The Movie
Iemasa Kayumi,One Piece: Strong World Episode 0
Iemasa Kayumi,Professor Layton and the Eternal Diva
Iemasa Kayumi,Oblivion Island: Haruka and the Magic Mirror
Akio Otsuka,The Fable
Tamio Ohki,Planetarian: Hoshi no Hito
Tessyo Genda,Shin Mashin Eiyuuden Wataru: Mashinzan Hen
Atsuko Tanaka,God Eater Prologue
Atsuko Tanaka,Princess Lover!
Atsuko Tanaka,Umineko: When They Cry
Atsuko Tanaka,The River's Light
Atsuko Tanaka,Beyond the Heavens
Yuji Ueda,Natsume Yujin-cho
Yuji Ueda,Mobile Suit Gundam 00
Yuji Ueda,Aria the OVA: Arietta
Yuji Ueda,Pokémon: The Rise of Darkrai
Yuji Ueda,Animal Crossing: The Movie
Yuji Ueda,Tokyo Tribe 2
Maaya Sakamoto,Sorcerous Stabber Orphen
Maaya Sakamoto,Stars Align
Maaya Sakamoto,Fate/Grand Order Absolute Demonic Front: Babylonia
Maaya Sakamoto,NiNoKuni
Maaya Sakamoto,BEM
Maaya Sakamoto,Ensemble Stars!
Takashi Matsuyama,Don's Road 9
Takashi Matsuyama,The Wolverine
Takashi Matsuyama,Donyatsu
Takashi Matsuyama,ぼくは王さま
Mitsuru Miyamoto,Our Home's Fox Deity
Mitsuru Miyamoto,Graveyard Kitaro
Mitsuru Miyamoto,Baccano!
Mitsuru Miyamoto,Saiyuki Reload: Burial
Mitsuru Miyamoto,Mushi-Shi
Mitsuru Miyamoto,Tsubasa RESERVoir CHRoNiCLE
Shinji Ogawa,Cowboy Bebop
Shinji Ogawa,Master of Mosquiton '99
Shinji Ogawa,Night Warriors: Darkstalkers' Revenge
Shinji Ogawa,Ghost in the Shell
Shinji Ogawa,The Mighty Gin Rei
Shigeru Chiba,Overlord: The Dark Hero
Shigeru Chiba,Overlord: The Undead King
Shigeru Chiba,March Comes in Like a Lion
Shigeru Chiba,Dragon Ball Z: The Real 4-D
Shigeru Chiba,The Next Generation Patlabor: Tokyo War
Hiroshi Yanaka,Miss Kobayashi's Dragon Maid
Hiroshi Yanaka,Regalia: The Three Sacred Stars
Hiroshi Yanaka,Doraemon: Nobita and the Birth of Japan
Hiroshi Yanaka,Dimension W
Hiroshi Yanaka,Gate
Hiroshi Yanaka,Stitch and the Planet of Sand
Koichi Yamadera,My Home Hero
Koichi Yamadera,LUPIN THE 3rd vs. CAT'S EYE
Koichi Yamadera,Zorori the Naughty Hero: La La La♪ A Star is Born
Koichi Yamadera,Sword Art Online -FULLDIVE-
Kazuhiro Yamaji,HIGH CARD
Kazuhiro Yamaji,Elpis
Kazuhiro Yamaji,Housing Complex C
Kazuhiro Yamaji,Lucifer and the Biscuit Hammer
Kazuhiro Yamaji,Call of the Night
Yutaka Nakano,Dimension W
Yutaka Nakano,The Laws Of The Universe - Part 0
Yutaka Nakano,Kingdom
Yutaka Nakano,Hunter x Hunter
Yutaka Nakano,The Princess and the Pilot
Yutaka Nakano,Junod
Yutaka Nakano,A Certain Scientific Railgun
Yutaka Nakano,Pattenrai!! - Minami no Shima no Mizu Monogatari
Iemasa Kayumi,Ekiro
Iemasa Kayumi,Fullmetal Alchemist: Brotherhood
Iemasa Kayumi,Allison & Lillia
Iemasa Kayumi,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta
Iemasa Kayumi,Bartender
Iemasa Kayumi,Akagi
Iemasa Kayumi,Glass Mask
Akio Otsuka,Yakuza: Like a Dragon
Akio Otsuka,Pon no Michi
Akio Otsuka,Onimusha
Akio Otsuka,PLUTO
Akio Otsuka,GOOD NIGHT WORLD
Akio Otsuka,Shangri-La Frontier
Akio Otsuka,Sand Land
Akio Otsuka,The Great Cleric
Tamio Ohki,Black Bullet
Tamio Ohki,Hal
Tamio Ohki,From the New World
Tamio Ohki,Fairy Tail: Phoenix Priestess
Tamio Ohki,Wolf Children
Tamio Ohki,Fate/Zero
Tamio Ohki,Children Who Chase Lost Voices
Tessyo Genda,Kukuriraige: Sanseitai Denki
Tessyo Genda,"'Tis Time for ""Torture,"" Princess"
Tessyo Genda,Sasaki and Peeps
Tessyo Genda,City Hunter the Movie: Angel Dust
Tessyo Genda,Campfire Cooking in Another World with my Absurd Skill
